Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-03-07,23.2241,23.2647,23.1792,23.2095,363927.43082697
2011-03-08,23.1748,23.2051,23.1049,23.1204,135952.43048464
2011-03-09,23.1204,23.1204,22.514,22.6963,278918.95988199
2011-03-10,22.6626,22.6626,22.318,22.318,399991.17458454
2011-03-11,22.2247,22.2687,21.8981,21.8981,320410.84521432
2011-03-14,21.7755,22.4112,21.6278,22.4112,214972.46543766
2011-03-15,22.0968,22.578,21.9733,22.3032,587798.62185332
2011-03-16,22.3032,22.6575,22.2929,22.6324,93392.049807126
2011-03-17,22.514,22.7456,22.514,22.7308,93312.173123684
2011-03-18,22.6868,23.3571,22.6868,23.3571,206561.10338127
2011-03-21,23.0073,23.5247,22.9632,23.4271,150970.40460486
2011-03-22,23.377,23.599,23.3632,23.5489,102180.80025194
2011-03-23,23.5247,23.599,23.4003,23.5005,60487.486761353
2011-03-24,23.5454,24.2279,23.5005,24.2098,238269.83144161
2011-03-25,24.1406,24.3575,23.8944,24.0663,98336.300748883
2011-03-28,24.0422,24.0422,23.6966,23.9186,191929.77871426
2011-03-29,23.8944,23.992,23.7666,23.8987,125442.27962999
2011-03-30,23.8703,24.1164,23.8504,24.0914,82702.465823005
2011-03-31,24.0905,24.2901,24.0231,24.0231,99263.564856667
2011-04-01,23.9679,24.2054,23.9679,24.1406,65703.78148005
2011-04-04,23.992,24.2141,23.8944,24.0422,239547.85837668
2011-04-05,24.0663,24.2279,24.0663,24.0819,41254.570548206
2011-04-06,24.0525,24.1648,24.0422,24.1406,61758.567897866
2011-04-07,24.1406,24.2141,24.0474,24.0663,77586.885183429
2011-04-08,24.0474,24.0914,23.7173,23.796,96272.240943415
2011-04-11,23.6483,23.7899,23.6483,23.7709,176312.15065169
2011-04-12,24.1406,24.2875,24.0767,24.2875,443820.32113238
2011-04-13,24.2633,24.7315,24.1648,24.7315,572259.7128411
2011-04-14,24.6572,25.3483,24.6572,25.1013,452232.84082185
2011-04-15,25.1263,25.7655,25.1013,25.718,1438229.4635981
2011-04-18,25.718,25.718,24.5355,24.6831,444632.97956392
2011-04-19,24.5596,25.4709,24.5596,25.1263,183328.56483056
2011-04-20,25.1504,25.4709,25.1013,25.1263,315845.1402941
2011-04-21,25.1263,25.1263,24.7073,24.8308,90631.094879453
2011-04-26,24.7073,24.8308,24.6331,24.6831,100344.79416587
2011-04-27,24.6572,24.6831,24.3868,24.4352,142883.17981462
2011-04-28,24.3868,24.7315,24.3868,24.6331,190967.78561367
2011-04-29,24.6313,24.8308,24.6097,24.7583,70149.092558567
2011-05-02,24.6331,24.8783,24.6088,24.8058,32704.292520622
2011-05-04,24.8308,24.8783,24.6572,24.7315,205731.08045333
2011-05-05,24.6572,24.7073,24.5596,24.7073,68024.835832244
2011-05-06,24.5596,24.7315,24.4853,24.7315,76501.025341854
2011-05-09,24.4507,24.9043,24.4421,24.9043,109139.33277615
2011-05-10,24.8541,25.1263,24.8541,25.027,288133.71930516
2011-05-11,24.9294,24.9785,24.8308,24.8541,193198.54458458
2011-05-12,24.8541,25.6186,24.7816,25.6186,527080.76610639
2011-05-13,25.5202,25.9141,25.4467,25.6186,450476.71141922
2011-05-16,25.5694,26.2095,25.5694,26.0618,650810.9063913
2011-05-17,26.0125,26.0368,25.9382,25.9382,313924.62699221
2011-05-18,25.6186,25.9642,25.5694,25.9642,366463.80493453
2011-05-19,25.9642,26.1111,25.8891,26.1111,350501.20221014
2011-05-20,25.9642,26.0877,25.8389,25.9141,181585.16939196
2011-05-23,25.9141,25.9875,25.6679,25.8389,345714.38936908
2011-05-24,25.7422,25.9875,25.6186,25.8389,366928.01580497
2011-05-25,25.7655,25.8156,25.3966,25.3966,66001.293185044
2011-05-26,25.4709,25.6186,25.4217,25.6186,121613.98699025
2011-05-27,25.5202,25.8657,25.5202,25.8657,102041.88428074
2011-05-30,25.7655,25.8891,25.6186,25.8657,70487.121421829
2011-05-31,25.8891,26.7019,25.8165,26.7019,738527.08114166
2011-06-01,26.2588,26.6051,26.1612,26.5058,150957.67064082
2011-06-02,26.1111,26.3331,26.0368,26.0618,106126.01383413
2011-06-03,26.0618,26.0618,25.9382,26.0368,152889.76027365
2011-06-06,25.9382,26.0125,25.8657,25.9141,22651.40673785
2011-06-07,25.864,26.0618,25.7172,25.9366,183767.30777294
2011-06-08,25.9167,26.016,25.7905,25.8891,35427.045556213
2011-06-09,25.9167,26.6034,25.743,26.283,240150.98521832
2011-06-10,26.1111,26.1612,26.0125,26.0125,75961.568320347
2011-06-13,25.9382,25.9382,25.7655,25.8389,22791.480342147
2011-06-14,25.7923,25.9642,25.7655,25.8657,39109.476426203
2011-06-15,25.8389,25.9141,25.7655,25.8156,57548.256337302
2011-06-16,25.769,25.9167,25.6178,25.769,95562.611857183
2011-06-17,25.6178,25.743,25.5435,25.5435,101291.73803624
2011-06-20,25.4217,25.496,25.1755,25.3223,66342.794947586
2011-06-21,25.2757,25.3223,24.8783,25.0761,93771.753461749
2011-06-22,25.1263,25.2757,24.9785,25.2247,635758.20327829
2011-06-24,25.0761,25.2766,25.0761,25.223,54394.863790979
2011-06-27,25.223,25.2766,24.9769,24.9769,77812.623636635
2011-06-28,25.1228,25.6178,25.1228,25.4433,64234.745084571
2011-06-29,25.4433,25.6178,25.248,25.4433,101229.2258492
2011-06-30,25.5219,25.6178,25.4433,25.6178,70159.511256408
2011-07-01,25.6178,25.6178,25.5219,25.6178,28364.3260536
2011-07-04,25.6178,25.7905,25.6178,25.7905,40421.074720984
2011-07-05,25.7905,25.864,25.7905,25.8416,46370.151187781
2011-07-06,25.8416,25.864,25.1228,25.5219,160970.03926534
2011-07-07,25.5219,26.2363,25.5219,26.1361,370826.92406342
2011-07-08,26.7175,26.7434,26.4808,26.7434,186053.63313234
2011-07-11,26.796,26.9273,26.5878,26.796,129789.19189558
2011-07-12,26.5352,26.5352,25.801,26.0618,175185.77365183
2011-07-13,26.0618,26.6388,26.01,26.4557,65922.574134696
2011-07-14,26.3252,26.3762,26.1939,26.2199,33929.0683334
2011-07-15,26.2199,26.2717,26.1205,26.1672,311299.11513647
2011-07-18,25.9573,25.9573,25.223,25.4329,187463.63024005
2011-07-19,25.4329,25.68,25.407,25.4329,95946.946044179
2011-07-20,25.4848,25.5323,25.4329,25.4329,33837.615319024
2011-07-21,25.4329,25.6843,25.4329,25.6843,122740.36399009
2011-07-22,25.743,26.1154,25.6947,26.0825,61435.588264818
2011-07-25,26.092,26.1154,25.7732,25.9279,38931.200929825
2011-07-26,25.9573,26.0679,25.9055,25.9841,87467.283635289
2011-07-27,25.9573,25.9841,25.4546,25.5384,25478.346751844
2011-07-28,25.4848,26.2199,25.2074,25.9279,105351.55729467
2011-07-29,25.4329,25.9305,25.4329,25.5893,84710.959239991
2011-08-01,25.5893,25.8891,25.5384,25.6947,39645.46054843
2011-08-02,25.6947,25.6947,25.4433,25.5384,16916.492393326
2011-08-03,25.1703,25.2766,24.9077,24.9129,214562.66332261
2011-08-04,24.6676,24.8827,24.1217,24.1217,287421.77495274
2011-08-05,23.1257,23.7027,22.1555,23.4608,574228.8467329
2011-08-08,22.8103,23.3355,22.5495,22.5754,387106.7182554
2011-08-09,22.083,22.2868,20.7138,21.29,454865.29847617
2011-08-10,21.9663,22.5495,20.3985,21.5008,376111.51913462
2011-08-11,21.448,22.8103,20.9756,22.6799,277711.5485656
2011-08-12,23.4608,23.9376,23.0738,23.7027,299683.42467765
2011-08-16,24.2538,24.4101,24.1804,24.3263,433281.22945039
2011-08-17,24.3523,24.379,24.227,24.2798,291246.59469321
2011-08-18,24.3843,24.3843,22.3655,22.3914,357817.44336019
2011-08-19,22.3136,22.3136,21.2382,22.1711,96979.55476346
2011-08-22,22.1815,22.5279,22.1555,22.4181,51090.978942518
2011-08-23,22.4493,22.7853,22.4233,22.705,117482.39448003
2011-08-24,22.7637,22.9632,22.5538,22.6549,81543.675096547
2011-08-25,22.7326,22.8527,22.0242,22.2868,75629.327622552
2011-08-26,22.3395,22.5425,21.8679,22.0242,89823.066980285
2011-08-29,22.0778,22.3914,22.0355,22.3758,26989.057938684
2011-08-30,22.4441,23.3355,22.4441,23.0677,394779.51039821
2011-08-31,23.1119,24.9077,23.1119,24.8568,356092.57005109
2011-09-01,24.6459,24.7505,23.8124,24.0741,345462.02535472
2011-09-02,23.9125,24.0637,23.1835,23.2828,38707.777742806
2011-09-05,23.0211,23.0211,22.6549,22.6549,52639.892021439
2011-09-06,22.6549,22.8103,22.5495,22.6799,56000.500891474
2011-09-07,22.7905,22.9149,22.7274,22.8647,66468.976954764
2011-09-08,22.8647,22.8647,22.2393,22.3914,58307.663646549
2011-09-09,22.4708,22.4907,21.6571,21.7625,351436.56974957
2011-09-12,21.6891,21.6891,21.296,21.3954,400211.12487227
2011-09-13,21.5008,21.9663,21.5008,21.5517,77079.841888536
2011-09-14,21.6061,21.8472,21.4792,21.7625,109259.72661786
2011-09-15,21.8472,22.6013,21.6674,22.2912,66761.858127385
2011-09-16,22.3655,22.5495,22.3395,22.5331,58886.480193231
2011-09-19,22.3914,22.3914,22.0544,22.2868,78328.927996276
2011-09-20,22.0242,23.4141,22.0242,22.6799,95542.932094596
2011-09-21,22.8103,23.0738,22.7326,23.0738,33335.202556505
2011-09-22,22.2973,22.6549,22.2868,22.5495,148576.41936778
2011-09-23,22.3395,22.8647,21.8411,22.2868,219269.59948023
2011-09-26,22.0778,22.6799,22.0242,22.381,65107.600436967
2011-09-27,22.6384,22.8527,22.6074,22.7689,253332.95325245
2011-09-28,22.9779,23.0419,22.4708,22.4708,134815.63478696
2011-09-29,22.4708,22.5495,22.2393,22.3966,46954.75589993
2011-09-30,22.2868,22.4181,22.1297,22.2868,327354.32850832
2011-10-03,22.1918,22.2868,21.93,22.2868,95423.695885979
2011-10-04,22.2868,22.2868,21.6061,21.7098,156743.52084146
2011-10-05,21.8186,22.1772,21.8161,22.0778,159747.57871874
2011-10-06,22.0544,23.3355,22.0544,23.3355,220761.78853758
2011-10-07,22.7594,23.0738,22.6549,22.6549,53241.861229988
2011-10-10,23.0738,23.2302,22.705,23.1507,34735.938599475
2011-10-11,23.1792,23.2051,23.0782,23.1006,42897.25190769
2011-10-12,23.0211,23.0211,22.7222,22.8103,240664.97431178
2011-10-13,22.9149,22.9149,22.4441,22.4493,89892.524965887
2011-10-14,22.4493,22.6549,22.2868,22.5495,535735.23111237
2011-10-17,22.5495,22.9382,22.5495,22.9382,119678.42445814
2011-10-18,22.8103,23.1991,22.7594,23.0945,69433.675306868
2011-10-19,23.0738,23.6509,23.0738,23.6456,140912.88828972
2011-10-20,23.3623,23.466,23.3408,23.3873,373093.56966022
2011-10-21,23.3511,23.7545,23.3511,23.7545,379092.42435004
2011-10-24,23.5186,24.1113,23.4997,24.1113,141081.90272134
2011-10-25,24.0706,24.1182,23.3873,23.5454,48268.669460898
2011-10-26,23.3355,23.5878,23.0841,23.2302,47887.808173181
2011-10-27,23.7087,23.9644,23.4997,23.8599,55686.782323172
2011-10-28,23.8599,24.0534,23.7545,24.0119,67990.106839443
2011-10-31,24.0016,24.0706,23.5454,23.5454,339206.17611818
2011-11-02,22.3655,23.0738,22.3612,22.8103,170763.61523519
2011-11-03,22.7162,23.1671,22.6549,22.9528,91072.153088025
2011-11-04,23.1507,23.3873,22.9779,23.0738,158631.62041673
2011-11-07,23.0738,23.1257,22.6695,22.8103,109229.62815744
2011-11-08,22.7119,23.0151,22.7119,22.8492,158343.36977649
2011-11-09,23.1835,23.5878,22.7326,22.8587,211646.58556043
2011-11-10,22.705,22.7689,22.4181,22.5495,62442.729056044
2011-11-14,22.7853,23.0211,22.6756,22.7162,101245.43271251
2011-11-15,22.7119,22.7162,22.2281,22.2868,75917.578262799
2011-11-16,22.2868,22.2868,21.9923,22.2868,90129.839750026
2011-11-17,22.14,22.2497,21.7833,22.0242,503360.86402336
2011-11-18,22.0242,22.1884,21.4533,21.5008,396438.398621
2011-11-21,21.6061,21.6312,20.2413,20.4883,152102.56977016
2011-11-22,20.4883,20.7138,20.2681,20.3467,203202.80977743
2011-11-23,20.294,20.3311,19.717,19.9268,217129.1358906
2011-11-24,20.0953,20.0953,19.304,19.5071,1219099.9377221
2011-11-25,19.6021,19.6652,19.4397,19.6124,1411936.1431486
2011-11-28,19.7955,20.1584,19.7697,20.1316,70480.175623269
2011-11-29,20.173,20.173,19.4665,19.4665,121374.35693992
2011-11-30,19.5071,20.3985,19.2565,20.3985,538247.29492497
2011-12-01,19.9001,20.1368,19.6695,19.9796,176045.89504021
2011-12-02,20.0271,20.4037,20.0271,20.3985,86434.674916009
2011-12-05,20.4512,20.871,20.1938,20.871,119012.78542946
2011-12-06,20.8192,20.9332,20.6084,20.7657,142840.34739016
2011-12-07,20.8019,21.0024,20.7657,20.871,158606.15248868
2011-12-08,20.9237,21.0809,20.4564,20.6499,52316.912388391
2011-12-09,20.4512,20.6032,20.0366,20.5039,47484.95185669
2011-12-12,20.4512,20.5039,20.3787,20.3933,39317.850383008
2011-12-13,20.3787,20.3787,19.8491,19.8491,124057.75045033
2011-12-14,19.8491,19.8491,19.1978,19.1978,326518.51741492
2011-12-15,19.2462,19.3498,18.6631,18.7995,473871.31860301
2011-12-16,18.8782,19.0726,18.7832,18.7832,121304.89895431
2011-12-19,18.7727,18.8263,17.9349,17.9349,655630.13295897
2011-12-20,18.2493,18.5101,18.0385,18.3003,471315.26473286
2011-12-21,18.5007,19.2825,18.5007,18.9836,174109.17487501
2011-12-22,18.8989,19.0095,18.7995,18.8212,413379.20130928
2011-12-23,18.8212,18.8263,18.7469,18.8212,80462.445787346
2011-12-27,18.8212,18.8263,18.543,18.5637,275443.7453357
2011-12-28,18.6156,18.6156,18.4324,18.5059,207854.17954657
2011-12-29,18.4851,18.4851,18.2493,18.3003,124951.44319841
2011-12-30,18.3003,18.5914,18.3003,18.4868,91683.38336132
2012-01-02,18.6156,18.9196,18.5369,18.8782,29502.279384377
2012-01-03,18.9775,18.9775,18.7727,18.8367,242975.60996613
2012-01-04,18.7727,18.8263,18.2753,18.3547,581855.33355199
2012-01-05,18.4851,18.5059,18.3003,18.3547,66221.243472783
2012-01-09,18.3547,18.4066,18.2493,18.3228,43452.915792505
2012-01-10,18.448,18.4851,18.3279,18.334,390377.03174414
2012-01-11,18.3547,18.4584,18.3124,18.3279,44587.396224001
2012-01-12,18.334,18.4584,18.3175,18.3849,223931.38794721
2012-01-13,18.4584,19.0674,18.4584,19.0674,399009.50172136
2012-01-16,18.9308,19.6547,18.8833,19.6228,214862.49029379
2012-01-17,19.8647,20.0323,19.8068,19.8215,112231.37076852
2012-01-18,19.9268,20.0219,19.4397,19.8215,160527.82342367
2012-01-19,19.9225,20.1264,19.8215,20.1161,134467.18722586
2012-01-20,19.9856,20.1894,19.9856,20.1368,96734.136547667
2012-01-23,20.1419,20.5298,20.1368,20.5255,270320.06126447
2012-01-24,20.5255,20.5255,20.3838,20.4926,66848.680609387
2012-01-25,20.4512,20.6084,20.3726,20.4253,57140.769488438
2012-01-26,20.5039,20.7976,20.4564,20.5825,170192.90212016
2012-01-27,20.5566,20.9756,20.5298,20.9756,726883.6074886
2012-01-30,20.9756,21.1854,20.8961,21.1854,98469.42855462
2012-01-31,21.2364,21.6554,21.0283,21.0283,351363.6388647
2012-02-01,21.2114,21.6571,21.2114,21.6528,99814.598209108
2012-02-02,21.7098,21.835,21.5837,21.7625,235037.71984494
2012-02-03,21.8161,21.8825,21.6891,21.7573,82175.742765524
2012-02-06,21.626,21.9663,21.626,21.9663,86713.66449151
2012-02-07,21.8929,22.5754,21.8929,22.2868,248637.59342577
2012-02-08,22.3914,22.8838,22.3914,22.8838,114018.75626468
2012-02-09,22.8838,23.0151,22.705,22.8103,238691.20988759
2012-02-10,22.705,22.7387,21.8679,22.0778,128675.54885977
2012-02-13,22.1029,22.3136,21.9509,21.9984,188797.22356361
2012-02-14,21.9724,22.2817,21.9188,21.9188,43540.8959076
2012-02-15,21.9776,22.1244,21.7358,21.7358,115088.40924295
2012-02-16,21.7625,21.7884,21.3435,21.5517,180609.28469425
2012-02-17,21.6105,22.0519,21.6105,21.9361,137970.18496638
2012-02-20,21.8161,21.8722,21.6839,21.7625,53080.950230011
2012-02-21,21.8411,21.8411,21.4377,21.5008,79501.610319854
2012-02-22,21.5008,21.5258,21.0957,21.1604,322056.99947309
2012-02-23,21.2114,21.5008,21.144,21.2114,68270.254048037
2012-02-24,21.2753,21.8161,21.2753,21.8161,99787.972647961
2012-02-27,22.0199,22.1141,21.8929,22.1141,96093.965447036
2012-02-28,22.2817,22.6013,22.1297,22.1297,110419.67497741
2012-02-29,22.1305,22.1305,21.645,21.9663,96847.584590817
2012-03-01,21.8722,21.8722,21.5889,21.6528,45746.186950458
2012-03-02,21.6459,21.6528,21.5361,21.6061,644125.57527712
2012-03-05,21.6839,21.8308,21.626,21.7098,43516.58561264
2012-03-06,21.6571,21.7098,20.8961,20.9496,120744.60453713
2012-03-07,20.9125,21.0222,20.5825,20.9401,901773.02706855
2012-03-08,21.0852,21.721,21.0551,21.5008,305098.83228841
2012-03-09,21.6571,21.8567,21.5958,21.6735,135412.97346314
2012-03-12,21.7098,21.8092,21.5793,21.7884,37126.450937271
2012-03-13,21.7461,22.235,21.6571,21.9154,68913.898047948
2012-03-14,22.1711,22.2868,22.1297,22.2281,72479.407975508
2012-03-15,22.235,22.2601,22.0778,22.2601,42155.209094843
2012-03-16,22.235,22.3344,22.0778,22.1029,158167.4095463
2012-03-19,22.1607,22.1815,21.9465,21.9819,17464.052846487
2012-03-20,21.9724,21.9724,21.3263,21.4584,79975.082255039
2012-03-21,21.3893,21.6528,21.3746,21.4161,45827.221266993
2012-03-22,21.4533,21.5008,21.2382,21.4213,80448.554190224
2012-03-23,21.2382,21.3954,21.2217,21.29,184075.23817578
2012-03-26,21.29,21.6528,21.29,21.6061,113640.21024316
2012-03-27,21.6061,22.0087,21.5318,21.5318,57389.660603511
2012-03-28,21.5318,21.6061,21.5164,21.5483,34578.500498777
2012-03-29,21.5318,21.7047,21.3798,21.6787,64201.173724863
2012-03-30,21.7642,21.8687,21.3721,21.5025,179977.21702527
2012-04-02,21.5008,21.5008,21.2433,21.3435,114088.21425028
2012-04-03,21.29,21.3435,21.1854,21.2329,49212.14043199
2012-04-04,21.2382,21.2382,20.9021,20.9756,318623.45971817
2012-04-05,20.9496,21.0283,19.5131,20.7915,158387.35983403
2012-04-10,20.7915,20.7915,20.5039,20.5566,38714.723541366
2012-04-11,20.5039,20.5039,20.1998,20.2413,138335.99702388
2012-04-12,20.3207,20.5566,20.3207,20.3985,67230.699530197
2012-04-13,20.4987,20.5039,20.0366,20.0841,266752.23607073
2012-04-16,20.0729,20.0841,19.8215,19.8742,171467.45615596
2012-04-17,19.9104,20.0323,19.7955,19.9268,134699.87147762
2012-04-18,19.9796,20.0323,19.7273,19.7273,68666.164565968
2012-04-19,19.717,19.723,19.5131,19.6384,90100.898922692
2012-04-20,19.6652,19.869,19.5969,19.8215,146566.7683177
2012-04-23,19.812,19.8215,19.3075,19.393,88661.960987641
2012-04-24,19.3766,19.3766,19.1926,19.1926,70077.319306778
2012-04-25,19.3498,19.3498,18.752,19.0353,518792.1131579
