Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-04-30,35.6565,35.8377,35.3741,35.3741,8836.9339259882
2010-05-04,35.4796,35.9798,35.3366,35.4082,8833.4076155628
2010-05-05,35.3366,35.443,34.2613,34.7633,18778.778451927
2010-05-06,34.5846,34.9419,34.2613,34.9419,24168.156218708
2010-05-07,34.5106,34.5106,33.4369,34.5106,87264.428659931
2010-05-10,34.7981,36.3396,34.7981,35.9092,24403.2435804
2010-05-11,36.0879,36.0879,35.4796,35.8377,35300.718231614
2010-05-12,35.8207,35.8377,35.1571,35.7663,5640.9212437906
2010-05-13,35.8377,35.8377,35.5518,35.7663,9384.6874787297
2010-05-14,35.7663,35.8377,35.5876,35.8377,63112.728556542
2010-05-17,35.7833,35.9092,35.5518,35.8377,3801.3626385536
2010-05-18,35.8377,36.1959,35.6582,36.161,17692.674840911
2010-05-19,36.1959,36.1959,35.443,35.4796,33697.422424878
2010-05-20,35.8377,35.8377,34.0469,34.0469,35136.15707843
2010-05-21,34.0478,34.4033,33.0056,34.4033,57570.544004663
2010-05-24,35.0866,35.1206,34.7981,34.9776,5682.0615320866
2010-05-25,34.9411,35.3009,34.9411,34.9776,33380.054486594
2010-05-26,35.4813,35.6565,35.2669,35.409,25564.575147156
2010-05-27,35.7654,36.1244,35.5161,36.0181,58807.10352716
2010-05-28,36.5558,36.6979,36.1942,36.1942,92032.000355037
2010-05-31,36.7361,37.5562,36.7361,37.4491,59568.786579041
2010-06-01,37.6295,37.8089,36.3031,37.0926,88672.601956465
2010-06-02,38.8953,38.8953,36.7472,37.5128,79237.370694971
2010-06-04,37.974,37.974,36.4401,36.6323,25196.663426108
2010-06-07,36.6323,36.6323,34.9054,34.9819,33510.527972332
2010-06-08,35.8267,35.865,34.5224,34.9819,35532.27928288
2010-06-09,34.9445,35.443,34.7156,34.8296,19782.60148635
2010-06-10,35.0984,35.0984,34.7156,34.9445,33531.685834885
2010-06-11,35.2133,35.2515,34.5224,34.5608,46613.122076215
2010-06-14,34.4842,35.2882,33.7943,35.2515,24089.401952541
2010-06-15,35.2882,35.2882,34.2341,34.5224,25271.89138185
2010-06-16,34.5224,34.9054,33.5637,33.5637,13723.224738748
2010-06-17,33.0456,33.5637,32.7589,33.5059,81629.384600183
2010-06-18,33.3722,33.6402,32.4322,32.4322,14220.434508727
2010-06-21,32.6049,34.4068,32.6049,33.7551,11427.596651829
2010-06-22,33.6981,33.7551,33.5824,33.7364,64008.411404588
